GemCode;GemName;a2006;a2011;a2016;a2017;a2018;a2019;a2020;a2021;a2022;a2023;a2024;Rate
40101;Linz ;187936;188431;200839;203012;204846;205726;206595;206537;207247;210118;211944;0.67
40301;Wels ;58479;58588;60399;60739;61233;61727;62470;62654;63181;64385;65287;0.61
41001;Allhaming ;1020;1050;1148;1146;1174;1176;1175;1208;1248;1236;1259;1.18
41002;Ansfelden ;15483;15659;16043;16044;16194;16654;17092;17433;17748;18145;18251;0.92
41003;Asten ;6265;6228;6371;6552;6613;6690;6718;6835;6822;6853;7058;0.66
41004;Eggendorf im Traunkreis ;723;745;899;929;944;950;1041;1090;1118;1154;1158;2.65
41005;Enns ;10893;11260;11736;11816;11937;12035;11940;11900;12025;12176;12265;0.66
41006;Hargelsberg ;1129;1231;1341;1354;1371;1388;1401;1420;1426;1453;1443;1.37
41007;Hörsching ;5394;5787;6039;5996;6062;6134;6209;6284;6386;6648;6522;1.06
41008;Hofkirchen im Traunkreis ;1481;1711;1857;1880;1899;1896;1948;1958;2040;2071;2082;1.91
41009;Kematen an der Krems ;2255;2481;2677;2770;2790;2857;2909;2975;3051;3093;3093;1.77
41010;Kirchberg-Thening ;2216;2300;2355;2361;2364;2414;2435;2485;2569;2576;2551;0.79
41011;Kronstorf ;3147;3115;3228;3392;3389;3508;3552;3552;3573;3571;3528;0.64
41012;Leonding ;23228;25275;27393;28081;28698;28795;28929;28938;28967;29129;29096;1.26
41013;Sankt Florian ;5542;5903;6077;6124;6176;6185;6181;6152;6278;6379;6318;0.73
41014;Neuhofen an der Krems ;5518;5642;6041;6169;6269;6521;6637;6678;6747;6872;6845;1.20
41015;Niederneukirchen ;1888;1923;2022;2037;2073;2096;2108;2107;2120;2121;2108;0.61
41016;Oftering ;1844;1952;2071;2082;2076;2125;2110;2134;2122;2141;2137;0.82
41017;Pasching ;6468;6584;7274;7454;7552;7607;7629;7688;7687;7650;7718;0.99
41018;Piberbach ;1773;1847;1870;1864;1902;1888;1875;1881;1869;1938;2047;0.80
41019;Pucking ;3665;3711;3865;3925;3904;3971;3979;4084;4154;4196;4208;0.77
41020;Sankt Marien ;4350;4614;4644;4701;4769;4785;4828;4871;4903;4989;5154;0.95
41021;Traun ;23853;23797;24058;24295;24477;24650;24756;24828;24926;25006;25171;0.30
41022;Wilhering ;5499;5794;6010;5948;5911;5948;5919;5890;5832;6044;6176;0.65
41801;Aichkirchen ;496;536;563;575;582;594;600;613;635;642;635;1.38
41802;Bachmanning ;660;674;677;699;704;721;739;739;724;722;714;0.44
41803;Bad Wimsbach-Neydharting ;2360;2435;2481;2471;2533;2566;2595;2577;2549;2550;2515;0.35
41804;Buchkirchen ;3659;3901;4060;4071;4038;4065;4045;4028;4001;4067;4110;0.65
41805;Eberstalzell ;2243;2330;2563;2571;2627;2653;2706;2820;2851;2898;2909;1.45
41806;Edt bei Lambach ;2073;2043;2138;2155;2197;2265;2269;2351;2342;2351;2356;0.71
41807;Fischlham ;1284;1300;1319;1341;1328;1341;1358;1345;1340;1347;1357;0.31
41808;Gunskirchen ;5371;5615;5855;5945;6037;6138;6280;6343;6431;6532;6560;1.12
41809;Holzhausen ;663;766;918;948;995;1025;1026;1022;1020;1013;1067;2.68
41810;Krenglbach ;2818;2990;3076;3098;3158;3179;3184;3215;3209;3238;3254;0.80
41811;Lambach ;3378;3371;3378;3409;3435;3523;3605;3583;3742;3888;3856;0.74
41812;Marchtrenk ;11685;12265;12951;13284;13603;13802;14070;14334;14436;14603;14724;1.29
41813;Neukirchen bei Lambach ;847;886;907;904;917;918;935;964;959;962;1001;0.93
41814;Offenhausen ;1532;1626;1615;1613;1638;1703;1711;1719;1715;1732;1710;0.61
41815;Pennewang ;865;875;901;889;888;916;923;946;957;1013;1048;1.07
41816;Pichl bei Wels ;2796;2810;2811;2807;2863;2930;2911;2912;2964;2950;2935;0.27
41817;Sattledt ;2288;2326;2606;2630;2668;2712;2706;2690;2693;2712;2779;1.09
41818;Schleißheim ;1065;1233;1312;1334;1389;1406;1429;1422;1411;1409;1441;1.69
41819;Sipbachzell ;1761;1794;1934;1963;1975;2025;2100;2158;2211;2263;2281;1.45
41820;Stadl-Paura ;5031;4958;4957;5003;5053;5037;4987;4968;5016;5083;5232;0.22
41821;Steinerkirchen an der Traun ;2264;2316;2379;2409;2371;2385;2386;2435;2449;2476;2444;0.43
41822;Steinhaus ;1817;1857;1996;2123;2187;2226;2268;2383;2503;2602;2751;2.33
41823;Thalheim bei Wels ;5323;5482;5498;5516;5482;5526;5530;5564;5511;5530;5548;0.23
41824;Weißkirchen an der Traun ;2944;3122;3346;3372;3430;3438;3414;3443;3570;3547;3555;1.05
