GemCode;GemText;BezCode;BezName;Region
40101;Linz;401;Linz Stadt;OÖ Zentralraum
40201;Steyr;402;Steyr Stadt;Traunviertel
40301;Wels;403;Wels Stadt;OÖ Zentralraum
40401;Altheim;404;Braunau am Inn;Innviertel
40402;Aspach;404;Braunau am Inn;Innviertel
40403;Auerbach;404;Braunau am Inn;Innviertel
40404;Braunau am Inn;404;Braunau am Inn;Innviertel
40405;Burgkirchen;404;Braunau am Inn;Innviertel
40406;Eggelsberg;404;Braunau am Inn;Innviertel
40407;Feldkirchen bei Mattighofen;404;Braunau am Inn;Innviertel
40408;Franking;404;Braunau am Inn;Innviertel
40409;Geretsberg;404;Braunau am Inn;Innviertel
40410;Gilgenberg am Weilhart;404;Braunau am Inn;Innviertel
40411;Haigermoos;404;Braunau am Inn;Innviertel
40412;Handenberg;404;Braunau am Inn;Innviertel
40413;Helpfau-Uttendorf;404;Braunau am Inn;Innviertel
40414;Hochburg-Ach;404;Braunau am Inn;Innviertel
40415;Höhnhart;404;Braunau am Inn;Innviertel
40416;Jeging;404;Braunau am Inn;Innviertel
40417;Kirchberg bei Mattighofen;404;Braunau am Inn;Innviertel
40418;Lengau;404;Braunau am Inn;Innviertel
40419;Lochen am See;404;Braunau am Inn;Innviertel
40420;Maria Schmolln;404;Braunau am Inn;Innviertel
40421;Mattighofen;404;Braunau am Inn;Innviertel
40422;Mauerkirchen;404;Braunau am Inn;Innviertel
40423;Mining;404;Braunau am Inn;Innviertel
40424;Moosbach;404;Braunau am Inn;Innviertel
40425;Moosdorf;404;Braunau am Inn;Innviertel
40426;Munderfing;404;Braunau am Inn;Innviertel
40427;Neukirchen an der Enknach;404;Braunau am Inn;Innviertel
40428;Ostermiething;404;Braunau am Inn;Innviertel
40429;Palting;404;Braunau am Inn;Innviertel
40430;Perwang am Grabensee;404;Braunau am Inn;Innviertel
40431;Pfaffstätt;404;Braunau am Inn;Innviertel
40432;Pischelsdorf am Engelbach;404;Braunau am Inn;Innviertel
40433;Polling im Innkreis;404;Braunau am Inn;Innviertel
40434;Roßbach;404;Braunau am Inn;Innviertel
40435;St. Georgen am Fillmannsbach;404;Braunau am Inn;Innviertel
40436;St. Johann am Walde;404;Braunau am Inn;Innviertel
40437;St. Pantaleon;404;Braunau am Inn;Innviertel
40438;St. Peter am Hart;404;Braunau am Inn;Innviertel
40439;St. Radegund;404;Braunau am Inn;Innviertel
40440;St. Veit im Innkreis;404;Braunau am Inn;Innviertel
40441;Schalchen;404;Braunau am Inn;Innviertel
40442;Schwand im Innkreis;404;Braunau am Inn;Innviertel
40443;Tarsdorf;404;Braunau am Inn;Innviertel
40444;Treubach;404;Braunau am Inn;Innviertel
40445;Überackern;404;Braunau am Inn;Innviertel
40446;Weng im Innkreis;404;Braunau am Inn;Innviertel
40501;Alkoven;405;Eferding;Hausruckviertel
40502;Aschach an der Donau;405;Eferding;Hausruckviertel
40503;Eferding;405;Eferding;Hausruckviertel
40504;Fraham;405;Eferding;Hausruckviertel
40505;Haibach ob der Donau;405;Eferding;Hausruckviertel
40506;Hartkirchen;405;Eferding;Hausruckviertel
40507;Hinzenbach;405;Eferding;Hausruckviertel
40508;Prambachkirchen;405;Eferding;Hausruckviertel
40509;Pupping;405;Eferding;Hausruckviertel
40510;St. Marienkirchen an der Polsenz;405;Eferding;Hausruckviertel
40511;Scharten;405;Eferding;Hausruckviertel
40512;Stroheim;405;Eferding;Hausruckviertel
40601;Freistadt;406;Freistadt;Mühlviertel Ost
40602;Grünbach;406;Freistadt;Mühlviertel Ost
40603;Gutau;406;Freistadt;Mühlviertel Ost
40604;Hagenberg im Mühlkreis;406;Freistadt;Mühlviertel Ost
40605;Hirschbach im Mühlkreis;406;Freistadt;Mühlviertel Ost
40606;Kaltenberg;406;Freistadt;Mühlviertel Ost
40607;Kefermarkt;406;Freistadt;Mühlviertel Ost
40608;Königswiesen;406;Freistadt;Mühlviertel Ost
40609;Lasberg;406;Freistadt;Mühlviertel Ost
40610;Leopoldschlag;406;Freistadt;Mühlviertel Ost
40611;Liebenau;406;Freistadt;Mühlviertel Ost
40612;Neumarkt im Mühlkreis;406;Freistadt;Mühlviertel Ost
40613;Pierbach;406;Freistadt;Mühlviertel Ost
40614;Pregarten;406;Freistadt;Mühlviertel Ost
40615;Rainbach im Mühlkreis;406;Freistadt;Mühlviertel Ost
